time[s],horizontal_motion[pixel],vertical_motion[pixel],horizontal_motion[deg],vertical_motion[deg],horizontal_motion_raw[pixel],vertical_motion_raw[pixel],horizontal_motion_raw[deg],vertical_motion_raw[deg]
0.0000,-1.0486,26.9055,-0.0128,0.2463,-1,27,-0.0122,0.2472
0.0021,-1.0495,24.3206,-0.0128,0.2227,-1,-1,-0.0122,-0.0092
0.0042,-1.0496,21.7732,-0.0128,0.1993,-1,-1,-0.0122,-0.0092
0.0063,-1.0488,19.2965,-0.0128,0.1767,-1,-1,-0.0122,-0.0092
0.0083,-1.0469,16.9174,-0.0128,0.1549,-1,-1,-0.0122,-0.0092
0.0104,-1.0438,14.6569,-0.0127,0.1342,-1,-1,-0.0122,-0.0092
0.0125,-1.0391,12.5307,-0.0127,0.1147,-1,-1,-0.0122,-0.0092
0.0146,-1.0328,10.5498,-0.0126,0.0966,-1,-1,-0.0122,-0.0092
0.0167,-1.0246,8.7211,-0.0125,0.0798,-1,-1,-0.0122,-0.0092
0.0187,-1.0143,7.0483,-0.0124,0.0645,-1,-1,-0.0122,-0.0092
0.0208,-1.0016,5.5320,-0.0122,0.0506,-1,-1,-0.0122,-0.0092
0.0229,-0.9863,4.1705,-0.0120,0.0382,-1,-1,-0.0122,-0.0092
0.0250,-0.9681,2.9601,-0.0118,0.0271,-1,-1,-0.0122,-0.0092
0.0271,-0.9468,1.8956,-0.0116,0.0174,-1,-1,-0.0122,-0.0092
0.0292,-0.9222,0.9706,-0.0113,0.0089,-1,-1,-0.0122,-0.0092
0.0312,-0.8941,0.1773,-0.0109,0.0016,-1,-28,-0.0122,-0.2563
0.0333,-0.8623,-0.4943,-0.0105,-0.0045,0,27,0.0000,0.2472
0.0354,-0.8265,-1.0553,-0.0101,-0.0097,-4,-6,-0.0488,-0.0549
0.0375,-0.7867,-1.5164,-0.0096,-0.0139,-1,-1,-0.0122,-0.0092
0.0396,-0.7432,-1.8873,-0.0091,-0.0173,0,-1,0.0000,-0.0092
0.0417,-0.6964,-2.1774,-0.0085,-0.0199,-2,-1,-0.0244,-0.0092
0.0437,-0.6469,-2.3958,-0.0079,-0.0219,-1,-1,-0.0122,-0.0092
0.0458,-0.5954,-2.5515,-0.0073,-0.0234,-1,0,-0.0122,0.0000
0.0479,-0.5427,-2.6528,-0.0066,-0.0243,0,-1,0.0000,-0.0092
0.0500,-0.4896,-2.7076,-0.0060,-0.0248,0,0,0.0000,0.0000
0.0521,-0.4370,-2.7229,-0.0053,-0.0249,1,1,0.0122,0.0092
0.0542,-0.3855,-2.7051,-0.0047,-0.0248,0,0,0.0000,0.0000
0.0563,-0.3353,-2.6597,-0.0041,-0.0244,0,0,0.0000,0.0000
0.0583,-0.2866,-2.5913,-0.0035,-0.0237,-1,-1,-0.0122,-0.0092
