time[s],horizontal_motion[pixel],vertical_motion[pixel],horizontal_motion[deg],vertical_motion[deg],horizontal_motion_raw[pixel],vertical_motion_raw[pixel],horizontal_motion_raw[deg],vertical_motion_raw[deg]
0.0000,-0.9396,26.9330,-0.0115,0.2466,-1,27,-0.0122,0.2472
0.0021,-0.9384,24.3527,-0.0115,0.2230,-1,-1,-0.0122,-0.0092
0.0042,-0.9383,21.8102,-0.0115,0.1997,-1,-1,-0.0122,-0.0092
0.0063,-0.9392,19.3387,-0.0115,0.1771,-1,-1,-0.0122,-0.0092
0.0083,-0.9415,16.9650,-0.0115,0.1553,-1,-1,-0.0122,-0.0092
0.0104,-0.9454,14.7102,-0.0115,0.1347,-1,-1,-0.0122,-0.0092
0.0125,-0.9510,12.5898,-0.0116,0.1153,-1,-1,-0.0122,-0.0092
0.0146,-0.9588,10.6148,-0.0117,0.0972,-1,-1,-0.0122,-0.0092
0.0167,-0.9689,8.7920,-0.0118,0.0805,-1,-1,-0.0122,-0.0092
0.0187,-0.9817,7.1249,-0.0120,0.0652,-1,-1,-0.0122,-0.0092
0.0208,-0.9973,5.6140,-0.0122,0.0514,-1,-1,-0.0122,-0.0092
0.0229,-1.0163,4.2575,-0.0124,0.0390,-1,-1,-0.0122,-0.0092
0.0250,-1.0387,3.0514,-0.0127,0.0279,-1,-1,-0.0122,-0.0092
0.0271,-1.0650,1.9905,-0.0130,0.0182,-1,-1,-0.0122,-0.0092
0.0292,-1.0955,1.0679,-0.0134,0.0098,-1,-1,-0.0122,-0.0092
0.0312,-1.1303,0.2756,-0.0138,0.0025,-1,-28,-0.0122,-0.2563
0.0333,-1.1697,-0.3964,-0.0143,-0.0036,-1,27,-0.0122,0.2472
0.0354,-1.2140,-0.9598,-0.0148,-0.0088,-1,-1,-0.0122,-0.0092
0.0375,-1.2632,-1.4250,-0.0154,-0.0130,-1,-1,-0.0122,-0.0092
0.0396,-1.3175,-1.8012,-0.0161,-0.0165,-1,-1,-0.0122,-0.0092
0.0417,-1.3769,-2.0966,-0.0168,-0.0192,-1,-1,-0.0122,-0.0092
0.0437,-1.4412,-2.3195,-0.0176,-0.0212,-1,-1,-0.0122,-0.0092
0.0458,-1.5102,-2.4777,-0.0184,-0.0227,-1,-1,-0.0122,-0.0092
0.0479,-1.5837,-2.5787,-0.0193,-0.0236,-1,-1,-0.0122,-0.0092
0.0500,-1.6612,-2.6296,-0.0203,-0.0241,-3,-1,-0.0366,-0.0092
0.0521,-1.7422,-2.6368,-0.0213,-0.0241,-2,0,-0.0244,0.0000
0.0542,-1.8263,-2.6065,-0.0223,-0.0239,-1,0,-0.0122,0.0000
0.0563,-1.9133,-2.5440,-0.0234,-0.0233,0,-1,0.0000,-0.0092
