frame,x,y
0,-0.0123125,0.10339374999999999
1,-0.01915625,-0.01548125
2,-0.031425,-0.0056375
3,-0.0432875,0.00453125
4,-0.04961875,0.0126625
5,-0.049025,0.023325
6,-0.05006875,0.035475
7,-0.04594375,0.04685
8,-0.031925,0.0557875
9,-0.00928125,0.060475
10,0.009075,0.05949375
11,0.022275,0.05645
12,0.0342625,0.05351875
13,0.0479,0.05133125
14,0.06066875,0.048625
15,0.06935,0.04468125
16,0.07521875,0.04415625
17,0.07711875,0.0448375
18,0.078675,0.049275
19,0.07948125,0.0528875
20,0.078975,0.05384375
21,0.08203125,0.0534
22,0.0877875,0.05614375
23,0.0889625,0.06491875
24,0.09056875,0.07085625
25,0.0901375,0.0738375
26,0.087925,0.07548125
27,0.08615625,0.078075
28,0.08514375,0.08335624999999999
29,0.08731875,0.08716875
30,0.08504375,0.088975
31,0.0828625,0.09221875
32,0.0803625,0.09453125
33,0.0822375,0.0985125
34,0.08704375,0.10393125
35,0.0936125,0.10835625
36,0.0944,0.11314375
37,0.09039375,0.12029375
38,0.087675,0.12336875
39,0.08915000000000001,0.1212375
40,0.091575,0.12486875
41,0.08920625,0.128125
42,0.0870375,0.12625625
43,0.08224375,0.12756875
44,0.0802875,0.12476875
45,0.0915875,0.1204
46,0.111925,0.11838749999999999
47,0.1222375,0.12481875
48,0.11834375,0.124025
49,0.09166875,0.109225
50,0.065,0.094425
51,0.0383125,0.0796375
52,0.01163125,0.06485
53,-0.01503125,0.05005
54,-0.04171875,0.035250000000000004
55,-0.2383875,0.05058125
56,-0.43865625,0.06623125
57,-0.47390625,0.05545625
58,-0.48993125,0.04819375
59,-0.501325,0.0458875
60,-0.51356875,0.052581249999999996
61,-0.52266875,0.0617375
62,-0.522025,0.07548125
63,-0.517725,0.08646875
64,-0.51064375,0.0982
65,-0.50085625,0.11415
66,-0.4850625,0.12291875
67,-0.47021875,0.12163125
68,-0.4540375,0.12445
69,-0.41760625,0.12824375
70,-0.38840625,0.128875
71,-0.37786875,0.13808125
72,-0.36205,0.14758125
73,-0.35708125,0.14925
74,-0.3744375,0.1473875
75,-0.39525625,0.15063125
76,-0.3962,0.15133125
77,-0.38405,0.14703125
78,-0.3796125,0.146375
79,-0.379275,0.14579375
80,-0.38165,0.1423
81,-0.3889,0.14855625
82,-0.3799375,0.155575
83,-0.3678875,0.158175
84,-0.3435625,0.164825
85,-0.32895625,0.1776875
86,-0.30993125,0.1901
87,-0.27585,0.1989625
88,-0.2913375,0.20435
89,-0.316725,0.21058125
90,-0.308475,0.21589375
91,-0.29458125,0.2182875
92,-0.27046875,0.2219875
93,-0.24374375,0.2284625
94,-0.253025,0.235425
95,-0.27185,0.24156875
96,-0.2758125,0.25195625
97,-0.2589875,0.2410625
98,-0.226525,0.20544375
99,-0.19406875,0.169825
100,-0.1616,0.1342125
101,-0.12914375,0.0986
102,-0.0966875,0.062975
103,-0.064225,0.0273625
104,-0.031775,-0.00825
105,0.0006874999999999999,-0.043875
106,0.03314375,-0.0794875
107,-0.01586875,-0.1134625
108,-0.07240625,-0.130275
109,-0.04085,-0.13331875
