time[s],horizontal_motion[pixel],vertical_motion[pixel],horizontal_motion[deg],vertical_motion[deg],horizontal_motion_raw[pixel],vertical_motion_raw[pixel],horizontal_motion_raw[deg],vertical_motion_raw[deg]
0.0000,-1.0100,26.9573,-0.0123,0.2468,-1,27,-0.0122,0.2472
0.0021,-1.0119,24.3787,-0.0124,0.2232,-1,-1,-0.0122,-0.0092
0.0042,-1.0138,21.8378,-0.0124,0.1999,-1,-1,-0.0122,-0.0092
0.0063,-1.0159,19.3677,-0.0124,0.1773,-1,-1,-0.0122,-0.0092
0.0083,-1.0182,16.9952,-0.0124,0.1556,-1,-1,-0.0122,-0.0092
0.0104,-1.0205,14.7412,-0.0125,0.1350,-1,-1,-0.0122,-0.0092
0.0125,-1.0229,12.6212,-0.0125,0.1156,-1,-1,-0.0122,-0.0092
0.0146,-1.0254,10.6460,-0.0125,0.0975,-1,-1,-0.0122,-0.0092
0.0167,-1.0280,8.8224,-0.0125,0.0808,-1,-1,-0.0122,-0.0092
0.0187,-1.0305,7.1539,-0.0126,0.0655,-1,-1,-0.0122,-0.0092
0.0208,-1.0329,5.6407,-0.0126,0.0516,-1,-1,-0.0122,-0.0092
0.0229,-1.0352,4.2809,-0.0126,0.0392,-1,-1,-0.0122,-0.0092
0.0250,-1.0374,3.0705,-0.0127,0.0281,-1,-1,-0.0122,-0.0092
0.0271,-1.0392,2.0039,-0.0127,0.0183,-1,-1,-0.0122,-0.0092
0.0292,-1.0407,1.0743,-0.0127,0.0098,-1,-1,-0.0122,-0.0092
0.0312,-1.0418,0.2735,-0.0127,0.0025,-1,-28,-0.0122,-0.2563
0.0333,-1.0422,-0.4089,-0.0127,-0.0037,-1,27,-0.0122,0.2472
0.0354,-1.0420,-0.9844,-0.0127,-0.0090,-1,-1,-0.0122,-0.0092
0.0375,-1.0409,-1.4638,-0.0127,-0.0134,-1,-1,-0.0122,-0.0092
0.0396,-1.0388,-1.8562,-0.0127,-0.0170,-1,-1,-0.0122,-0.0092
0.0417,-1.0356,-2.1702,-0.0126,-0.0199,-1,-1,-0.0122,-0.0092
0.0437,-1.0311,-2.4141,-0.0126,-0.0221,-1,-1,-0.0122,-0.0092
0.0458,-1.0250,-2.5958,-0.0125,-0.0238,-1,-1,-0.0122,-0.0092
0.0479,-1.0172,-2.7228,-0.0124,-0.0249,-1,-1,-0.0122,-0.0092
0.0500,-1.0075,-2.8022,-0.0123,-0.0257,-1,-1,-0.0122,-0.0092
0.0521,-0.9958,-2.8406,-0.0122,-0.0260,-1,-1,-0.0122,-0.0092
0.0542,-0.9816,-2.8441,-0.0120,-0.0260,-1,-1,-0.0122,-0.0092
0.0563,-0.9650,-2.8181,-0.0118,-0.0258,-1,-1,-0.0122,-0.0092
0.0583,-0.9457,-2.7676,-0.0115,-0.0253,-1,-1,-0.0122,-0.0092
0.0604,-0.9234,-2.6971,-0.0113,-0.0247,-1,-1,-0.0122,-0.0092
0.0625,-0.8981,-2.6105,-0.0110,-0.0239,-1,-1,-0.0122,-0.0092
0.0646,-0.8695,-2.5117,-0.0106,-0.0230,-1,-28,-0.0122,-0.2563
0.0667,-0.8376,-2.4056,-0.0102,-0.0220,-1,27,-0.0122,0.2472
0.0688,-0.8022,-2.2976,-0.0098,-0.0210,-1,-1,-0.0122,-0.0092
0.0708,-0.7634,-2.1916,-0.0093,-0.0201,-1,-1,-0.0122,-0.0092
0.0729,-0.7211,-2.0895,-0.0088,-0.0191,-1,-1,-0.0122,-0.0092
0.0750,-0.6755,-1.9924,-0.0082,-0.0182,-1,-1,-0.0122,-0.0092
0.0771,-0.6268,-1.9010,-0.0077,-0.0174,-1,-1,-0.0122,-0.0092
0.0792,-0.5752,-1.8158,-0.0070,-0.0166,-1,-1,-0.0122,-0.0092
0.0813,-0.5210,-1.7369,-0.0064,-0.0159,-1,-1,-0.0122,-0.0092
0.0833,-0.4649,-1.6642,-0.0057,-0.0152,-1,-1,-0.0122,-0.0092
0.0854,-0.4075,-1.5975,-0.0050,-0.0146,0,-1,0.0000,-0.0092
0.0875,-0.3494,-1.5362,-0.0043,-0.0141,0,-1,0.0000,-0.0092
0.0896,-0.2914,-1.4798,-0.0036,-0.0135,0,-2,0.0000,-0.0183
0.0917,-0.2340,-1.4275,-0.0029,-0.0131,0,-2,0.0000,-0.0183
0.0938,-0.1777,-1.3786,-0.0022,-0.0126,0,-2,0.0000,-0.0183
0.0958,-0.1230,-1.3328,-0.0015,-0.0122,0,-1,0.0000,-0.0092
0.0979,-0.0703,-1.2899,-0.0009,-0.0118,0,-28,0.0000,-0.2563
0.1000,-0.0198,-1.2516,-0.0002,-0.0115,0,27,0.0000,0.2472
