time[s],horizontal_motion[pixel],vertical_motion[pixel],horizontal_motion[deg],vertical_motion[deg],horizontal_motion_raw[pixel],vertical_motion_raw[pixel],horizontal_motion_raw[deg],vertical_motion_raw[deg]
0.0000,-1.0267,26.9524,-0.0125,0.2468,-1,27,-0.0122,0.2472
0.0021,-1.0225,24.3706,-0.0125,0.2231,-1,-1,-0.0122,-0.0092
0.0042,-1.0170,21.8259,-0.0124,0.1998,-1,-1,-0.0122,-0.0092
0.0063,-1.0101,19.3515,-0.0123,0.1772,-1,-1,-0.0122,-0.0092
0.0083,-1.0015,16.9741,-0.0122,0.1554,-1,-1,-0.0122,-0.0092
0.0104,-0.9912,14.7147,-0.0121,0.1347,-1,-1,-0.0122,-0.0092
0.0125,-0.9790,12.5886,-0.0120,0.1153,-1,-1,-0.0122,-0.0092
0.0146,-0.9646,10.6067,-0.0118,0.0971,-1,-1,-0.0122,-0.0092
0.0167,-0.9480,8.7759,-0.0116,0.0803,-1,-1,-0.0122,-0.0092
0.0187,-0.9290,7.0994,-0.0113,0.0650,-1,-1,-0.0122,-0.0092
0.0208,-0.9075,5.5778,-0.0111,0.0511,-1,-1,-0.0122,-0.0092
0.0229,-0.8834,4.2089,-0.0108,0.0385,-1,-1,-0.0122,-0.0092
0.0250,-0.8565,2.9890,-0.0105,0.0274,-1,-1,-0.0122,-0.0092
0.0271,-0.8269,1.9125,-0.0101,0.0175,-1,-1,-0.0122,-0.0092
0.0292,-0.7946,0.9727,-0.0097,0.0089,-1,-1,-0.0122,-0.0092
0.0312,-0.7595,0.1615,-0.0093,0.0015,-1,-28,-0.0122,-0.2563
0.0333,-0.7218,-0.5312,-0.0088,-0.0049,-1,27,-0.0122,0.2472
0.0354,-0.6817,-1.1169,-0.0083,-0.0102,-1,-1,-0.0122,-0.0092
0.0375,-0.6395,-1.6060,-0.0078,-0.0147,-1,-1,-0.0122,-0.0092
0.0396,-0.5954,-2.0074,-0.0073,-0.0184,-1,-1,-0.0122,-0.0092
0.0417,-0.5501,-2.3295,-0.0067,-0.0213,-1,-1,-0.0122,-0.0092
0.0437,-0.5039,-2.5799,-0.0062,-0.0236,-1,-1,-0.0122,-0.0092
0.0458,-0.4578,-2.7664,-0.0056,-0.0253,-1,-1,-0.0122,-0.0092
0.0479,-0.4125,-2.8961,-0.0050,-0.0265,-1,-1,-0.0122,-0.0092
0.0500,-0.3690,-2.9754,-0.0045,-0.0272,-1,-1,-0.0122,-0.0092
0.0521,-0.3286,-3.0104,-0.0040,-0.0276,3,-4,0.0366,-0.0366
0.0542,-0.2920,-3.0070,-0.0036,-0.0275,4,-2,0.0488,-0.0183
0.0563,-0.2596,-2.9706,-0.0032,-0.0272,3,0,0.0366,0.0000
0.0583,-0.2306,-2.9064,-0.0028,-0.0266,-1,-1,-0.0122,-0.0092
0.0604,-0.2037,-2.8192,-0.0025,-0.0258,-1,-1,-0.0122,-0.0092
0.0625,-0.1774,-2.7129,-0.0022,-0.0248,-1,-1,-0.0122,-0.0092
0.0646,-0.1502,-2.5915,-0.0018,-0.0237,-1,-28,-0.0122,-0.2563
0.0667,-0.1210,-2.4600,-0.0015,-0.0225,-1,27,-0.0122,0.2472
0.0688,-0.0890,-2.3237,-0.0011,-0.0213,-1,-1,-0.0122,-0.0092
0.0708,-0.0536,-2.1866,-0.0007,-0.0200,-1,-1,-0.0122,-0.0092
0.0729,-0.0143,-2.0506,-0.0002,-0.0188,-1,-1,-0.0122,-0.0092
0.0750,0.0287,-1.9167,0.0004,-0.0175,-1,-1,-0.0122,-0.0092
0.0771,0.0755,-1.7856,0.0009,-0.0163,-1,-1,-0.0122,-0.0092
0.0792,0.1253,-1.6579,0.0015,-0.0152,-1,-1,-0.0122,-0.0092
0.0813,0.1774,-1.5337,0.0022,-0.0140,-1,-1,-0.0122,-0.0092
0.0833,0.2305,-1.4130,0.0028,-0.0129,-1,-1,-0.0122,-0.0092
0.0854,0.2833,-1.2959,0.0035,-0.0119,3,-4,0.0366,-0.0366
0.0875,0.3342,-1.1823,0.0041,-0.0108,4,-2,0.0488,-0.0183
0.0896,0.3824,-1.0726,0.0047,-0.0098,3,0,0.0366,0.0000
0.0917,0.4278,-0.9673,0.0052,-0.0089,2,1,0.0244,0.0092
0.0938,0.4709,-0.8668,0.0057,-0.0079,0,0,0.0000,0.0000
0.0958,0.5127,-0.7711,0.0063,-0.0071,-1,0,-0.0122,0.0000
0.0979,0.5542,-0.6802,0.0068,-0.0062,-1,-28,-0.0122,-0.2563
0.1000,0.5960,-0.5958,0.0073,-0.0055,-1,27,-0.0122,0.2472
0.1021,0.6382,-0.5203,0.0078,-0.0048,0,-1,0.0000,-0.0092
0.1042,0.6808,-0.4550,0.0083,-0.0042,0,0,0.0000,0.0000
0.1062,0.7233,-0.3998,0.0088,-0.0037,0,0,0.0000,0.0000
0.1083,0.7649,-0.3540,0.0093,-0.0032,1,0,0.0122,0.0000
0.1104,0.8050,-0.3168,0.0098,-0.0029,1,0,0.0122,0.0000
0.1125,0.8427,-0.2874,0.0103,-0.0026,0,1,0.0000,0.0092
0.1146,0.8772,-0.2646,0.0107,-0.0024,0,2,0.0000,0.0183
0.1167,0.9074,-0.2469,0.0111,-0.0023,4,-5,0.0488,-0.0458
0.1187,0.9326,-0.2332,0.0114,-0.0021,4,-3,0.0488,-0.0275
0.1208,0.9525,-0.2227,0.0116,-0.0020,4,0,0.0488,0.0000
0.1229,0.9676,-0.2150,0.0118,-0.0020,3,1,0.0366,0.0092
0.1250,0.9793,-0.2102,0.0120,-0.0019,2,1,0.0244,0.0092
0.1271,0.9894,-0.2080,0.0121,-0.0019,0,1,0.0000,0.0092
0.1292,1.0000,-0.2078,0.0122,-0.0019,-1,0,-0.0122,0.0000
